评价ID,品牌,分类,用户评分,评价内容长度,是否有图,购买渠道,评价日期,是否追评,有用数
RV-100728,飞利浦,耳机,5,10,是,拼多多,2026-03-15,否,1
RV-100729,联想,智能穿戴,4,14,是,苏宁,2025-11-19,是,4
RV-100730,惠普,笔记本电脑,4,124,是,苏宁,2026-04-03,否,2
RV-100731,小米,笔记本电脑,5,17,是,天猫,2026-05-14,否,0
RV-100732,索尼,笔记本电脑,4,10,是,官网,2025-12-07,否,2
RV-100733,惠普,平板电脑,4,70,是,天猫,2026-02-09,否,0
RV-100734,小米,智能手机,2,108,是,抖音,2025-11-02,否,4
RV-100735,海尔,智能家居,4,39,是,拼多多,2026-04-12,否,2
RV-100736,三星,智能家居,5,74,是,天猫,2025-08-26,否,1
RV-100737,格力,智能穿戴,5,82,是,天猫,2026-04-17,否,1
RV-100738,小米,智能手机,1,146,否,官网,2026-06-21,否,5
RV-100739,联想,投影仪,5,74,是,京东,2026-05-07,否,2
RV-100740,戴尔,智能家居,3,183,否,拼多多,2025-10-22,否,4
RV-100741,海尔,智能穿戴,4,190,是,官网,2025-09-22,否,5
RV-100742,美的,智能家居,5,122,是,苏宁,2026-06-26,否,2
RV-100743,OPPO,耳机,4,98,是,天猫,2025-10-12,是,5
RV-100744,飞利浦,智能穿戴,5,10,是,苏宁,2026-03-31,否,3
RV-100745,联想,智能手机,2,27,是,拼多多,2025-12-23,是,5
RV-100746,华为,智能穿戴,5,17,是,苏宁,2025-12-08,否,3
RV-100747,索尼,平板电脑,3,96,否,天猫,2025-12-08,否,0
RV-100748,松下,笔记本电脑,5,10,是,京东,2026-05-24,否,3
RV-100749,戴尔,智能穿戴,4,72,是,天猫,2026-03-28,否,1
RV-100750,松下,电视,5,28,是,官网,2025-09-25,否,3
RV-100751,华硕,耳机,5,112,是,官网,2026-05-06,否,8
RV-100752,海尔,智能穿戴,4,80,是,京东,2025-10-29,否,2
RV-100753,OPPO,投影仪,4,105,是,京东,2025-07-18,否,8
RV-100754,联想,智能手机,3,66,是,京东,2026-04-16,是,3
RV-100755,索尼,投影仪,4,172,否,抖音,2026-02-09,否,2
RV-100756,海尔,笔记本电脑,4,149,否,拼多多,2026-01-24,否,4
RV-100757,松下,智能穿戴,5,96,是,京东,2026-04-26,否,2
RV-100758,苹果,智能穿戴,5,69,是,天猫,2025-10-24,否,1
RV-100759,松下,耳机,3,97,是,苏宁,2025-12-07,否,0
RV-100760,美的,笔记本电脑,5,10,是,抖音,2025-09-06,是,4
RV-100761,飞利浦,投影仪,5,112,是,官网,2026-05-04,否,1
RV-100762,苹果,耳机,5,10,是,京东,2026-05-30,否,0
RV-100763,飞利浦,智能家居,3,148,是,拼多多,2026-05-09,是,8
RV-100764,华为,笔记本电脑,5,98,是,拼多多,2025-07-30,是,2
RV-100765,华为,笔记本电脑,5,97,是,天猫,2026-01-09,否,2
RV-100766,松下,耳机,4,85,是,天猫,2026-02-14,否,1
RV-100767,美的,智能手机,1,108,是,抖音,2025-07-16,是,9
RV-100768,苹果,智能家居,4,132,是,京东,2025-12-12,否,5
RV-100769,飞利浦,投影仪,5,43,是,拼多多,2025-07-13,否,2
RV-100770,惠普,智能手机,5,10,是,抖音,2026-03-15,否,3
RV-100771,戴尔,智能穿戴,1,191,否,拼多多,2025-07-26,否,3
RV-100772,苹果,智能手机,1,102,否,苏宁,2026-04-26,是,0
RV-100773,戴尔,笔记本电脑,3,137,否,天猫,2026-01-16,是,3
RV-100774,OPPO,电视,5,35,否,抖音,2025-09-14,否,0
RV-100775,索尼,电视,5,127,是,苏宁,2026-04-24,否,5
RV-100776,小米,笔记本电脑,5,65,是,苏宁,2026-06-04,否,0
RV-100777,海尔,智能手机,1,187,是,抖音,2025-08-24,否,3
RV-100778,小米,笔记本电脑,4,39,是,抖音,2025-10-30,否,3
RV-100779,索尼,投影仪,3,118,是,苏宁,2025-12-24,是,3
RV-100780,联想,电视,4,33,是,苏宁,2025-10-30,否,1
RV-100781,苹果,智能穿戴,3,36,是,抖音,2025-07-23,是,7
RV-100782,OPPO,智能家居,4,34,否,抖音,2025-12-27,否,0
RV-100783,海尔,投影仪,3,146,是,拼多多,2026-01-02,是,5
RV-100784,飞利浦,智能手机,3,10,否,拼多多,2025-12-10,否,0
RV-100785,华为,耳机,5,117,是,京东,2026-02-02,否,5
RV-100786,联想,平板电脑,5,92,是,京东,2026-02-22,否,3
RV-100787,格力,智能家居,4,30,否,拼多多,2025-12-21,否,0
RV-100788,OPPO,笔记本电脑,3,79,是,抖音,2026-04-14,否,2
RV-100789,索尼,投影仪,1,220,是,拼多多,2026-02-11,否,1
RV-100790,华为,智能穿戴,1,169,否,拼多多,2025-09-08,是,4
RV-100791,索尼,笔记本电脑,4,58,是,官网,2026-05-30,否,2
RV-100792,松下,智能穿戴,4,59,是,抖音,2025-08-23,否,2
RV-100793,华硕,平板电脑,2,187,否,苏宁,2025-09-16,否,1
RV-100794,三星,智能家居,5,115,是,天猫,2025-10-14,否,4
RV-100795,联想,智能家居,5,10,是,苏宁,2025-11-28,否,2
RV-100796,联想,笔记本电脑,4,73,否,抖音,2025-07-22,否,0
RV-100797,三星,电视,5,78,是,抖音,2025-11-02,是,5
RV-100798,戴尔,电视,4,105,是,京东,2025-08-13,否,3
RV-100799,格力,智能家居,3,139,是,苏宁,2026-06-06,否,4
RV-100800,美的,投影仪,4,131,否,抖音,2026-05-12,否,1
RV-100801,格力,笔记本电脑,4,10,否,拼多多,2025-10-13,否,0
RV-100802,华硕,笔记本电脑,5,18,是,苏宁,2026-03-10,否,3
RV-100803,三星,平板电脑,5,108,是,京东,2025-09-10,否,5
RV-100804,华硕,投影仪,4,42,是,拼多多,2026-04-25,否,2
RV-100805,华硕,投影仪,3,115,是,京东,2025-08-03,否,4
RV-100806,格力,耳机,5,17,是,天猫,2025-10-08,否,0
RV-100807,松下,智能家居,5,10,否,拼多多,2026-02-28,否,0
RV-100808,小米,耳机,5,10,否,苏宁,2025-08-13,否,0
RV-100809,飞利浦,智能手机,5,66,是,官网,2025-11-09,否,3
RV-100810,戴尔,投影仪,3,144,否,拼多多,2026-06-05,否,4
RV-100811,戴尔,投影仪,4,10,是,天猫,2025-08-14,是,4
RV-100812,华为,电视,5,79,是,官网,2025-09-07,否,1
RV-100813,戴尔,投影仪,4,104,否,拼多多,2026-01-22,是,5
RV-100814,三星,笔记本电脑,4,177,是,抖音,2026-06-27,否,1
RV-100815,海尔,耳机,2,104,否,苏宁,2026-06-13,是,6
RV-100816,OPPO,电视,4,111,是,官网,2025-11-18,否,3
RV-100817,华硕,笔记本电脑,5,106,是,苏宁,2025-10-28,否,4
RV-100818,苹果,电视,2,124,否,苏宁,2026-04-07,否,3
RV-100819,飞利浦,平板电脑,5,123,否,拼多多,2026-03-03,否,3
RV-100820,OPPO,智能家居,5,99,是,苏宁,2025-07-08,否,1
RV-100821,格力,电视,3,101,是,苏宁,2026-03-10,是,2
RV-100822,美的,投影仪,1,102,否,拼多多,2026-07-06,否,0
RV-100823,惠普,电视,5,10,是,天猫,2025-09-14,否,0
RV-100824,索尼,平板电脑,4,109,否,天猫,2025-11-29,否,4
RV-100825,索尼,笔记本电脑,5,82,否,官网,2026-02-15,否,0
RV-100826,联想,电视,5,52,否,苏宁,2026-01-29,否,0
RV-100827,美的,平板电脑,5,10,否,抖音,2026-04-22,否,0
RV-100828,松下,智能家居,5,87,是,京东,2025-11-27,否,3
RV-100829,美的,智能家居,5,58,是,苏宁,2025-11-16,否,3
RV-100830,小米,平板电脑,5,62,是,官网,2025-09-23,否,2
RV-100831,OPPO,耳机,4,107,否,苏宁,2026-04-07,否,4
RV-100832,美的,笔记本电脑,5,30,是,抖音,2025-12-29,是,3
RV-100833,美的,笔记本电脑,3,146,是,拼多多,2025-08-21,是,11
RV-100834,OPPO,智能手机,5,10,是,京东,2026-03-22,否,1
RV-100835,飞利浦,智能穿戴,5,85,是,拼多多,2025-12-16,是,3
RV-100836,苹果,耳机,1,187,否,官网,2025-08-11,是,5
RV-100837,苹果,笔记本电脑,5,26,否,官网,2026-01-31,否,0
RV-100838,OPPO,平板电脑,5,66,是,拼多多,2025-11-07,否,3
RV-100839,OPPO,电视,5,101,是,苏宁,2025-08-20,否,4
RV-100840,小米,智能手机,4,32,否,抖音,2025-10-28,否,0
RV-100841,海尔,笔记本电脑,5,10,是,天猫,2026-02-05,否,3
RV-100842,苹果,智能穿戴,3,129,是,苏宁,2025-10-20,否,0
RV-100843,戴尔,笔记本电脑,4,85,否,拼多多,2026-01-08,否,0
RV-100844,OPPO,笔记本电脑,3,24,是,京东,2026-06-15,否,3
RV-100845,戴尔,智能穿戴,5,70,是,拼多多,2025-08-23,否,3
RV-100846,联想,平板电脑,5,45,是,京东,2025-10-08,否,3
RV-100847,华为,电视,5,124,是,官网,2025-08-06,否,8
RV-100848,OPPO,智能家居,5,10,否,苏宁,2025-07-28,否,0
RV-100849,飞利浦,智能穿戴,5,10,是,天猫,2025-07-17,否,0
RV-100850,松下,智能手机,5,10,是,拼多多,2026-05-25,否,1
RV-100851,飞利浦,智能家居,5,77,是,苏宁,2025-07-14,否,1
RV-100852,华硕,智能家居,5,23,是,拼多多,2026-06-12,否,3
RV-100853,华为,笔记本电脑,4,170,否,抖音,2025-09-15,否,3
RV-100854,格力,智能穿戴,5,31,是,官网,2026-03-12,否,3
RV-100855,华为,智能手机,4,10,是,苏宁,2026-05-10,是,6
RV-100856,OPPO,投影仪,4,71,是,抖音,2026-03-12,否,3
RV-100857,三星,投影仪,2,84,否,天猫,2025-11-11,否,0
RV-100858,美的,智能穿戴,3,177,是,抖音,2026-04-17,否,5
RV-100859,三星,智能穿戴,4,53,是,天猫,2026-03-28,否,1
RV-100860,OPPO,智能家居,5,38,是,拼多多,2026-06-29,否,0
RV-100861,美的,智能穿戴,5,82,是,拼多多,2026-06-06,否,0
RV-100862,戴尔,笔记本电脑,4,77,是,抖音,2026-06-15,否,2
RV-100863,索尼,平板电脑,2,185,否,京东,2025-07-12,否,0
RV-100864,美的,智能家居,3,196,否,抖音,2026-05-17,否,4
RV-100865,华为,笔记本电脑,5,36,是,官网,2026-04-19,否,2
RV-100866,索尼,智能家居,3,136,是,苏宁,2026-03-27,否,1
RV-100867,戴尔,智能手机,5,89,否,天猫,2025-10-23,否,0
RV-100868,小米,智能穿戴,5,35,是,天猫,2026-03-14,否,3
RV-100869,飞利浦,电视,4,55,是,苏宁,2026-06-23,否,2
RV-100870,苹果,智能手机,3,83,是,苏宁,2026-06-07,是,4
RV-100871,飞利浦,智能手机,4,123,是,苏宁,2025-12-06,否,2
RV-100872,美的,智能穿戴,3,159,是,苏宁,2025-07-15,否,5
RV-100873,华硕,耳机,2,44,否,官网,2025-11-24,否,0
RV-100874,联想,电视,3,61,否,抖音,2025-10-15,是,1
RV-100875,索尼,耳机,5,38,是,京东,2026-06-27,否,1
RV-100876,美的,智能穿戴,5,74,是,拼多多,2025-12-30,否,0
RV-100877,海尔,投影仪,5,48,是,抖音,2026-02-06,否,3
RV-100878,格力,智能手机,4,144,否,抖音,2025-08-02,否,5
RV-100879,松下,耳机,5,45,是,苏宁,2025-07-08,否,1
RV-100880,惠普,耳机,5,59,是,苏宁,2025-07-09,否,1
RV-100881,松下,电视,5,10,是,苏宁,2026-03-21,否,3
RV-100882,小米,投影仪,4,98,是,苏宁,2025-08-17,否,3
RV-100883,华硕,智能家居,3,10,是,苏宁,2025-07-09,是,4
RV-100884,苹果,笔记本电脑,4,115,是,拼多多,2026-05-08,是,3
RV-100885,OPPO,智能穿戴,5,103,是,苏宁,2026-02-08,否,4
RV-100886,华为,平板电脑,5,132,是,京东,2026-07-07,是,5
RV-100887,惠普,投影仪,5,10,是,苏宁,2025-09-22,否,2
RV-100888,美的,投影仪,3,43,是,官网,2025-11-20,否,3
RV-100889,华硕,平板电脑,2,87,是,天猫,2025-12-22,否,3
RV-100890,美的,电视,5,12,是,官网,2026-04-15,否,0
RV-100891,华为,智能穿戴,4,94,是,抖音,2025-08-26,否,1
RV-100892,OPPO,智能手机,1,160,否,天猫,2025-10-09,否,5
RV-100893,华为,智能穿戴,3,109,是,抖音,2026-05-26,否,7
RV-100894,OPPO,投影仪,4,133,是,拼多多,2025-10-11,否,3
RV-100895,戴尔,智能穿戴,5,57,否,天猫,2026-02-12,否,0
RV-100896,苹果,智能穿戴,3,102,是,官网,2026-06-25,否,3
RV-100897,华为,智能穿戴,5,34,是,苏宁,2026-02-26,否,2
RV-100898,松下,笔记本电脑,5,55,是,拼多多,2026-05-11,否,3
RV-100899,华为,投影仪,4,139,是,拼多多,2026-06-29,否,4
RV-100900,惠普,笔记本电脑,5,32,是,抖音,2025-08-17,否,0
RV-100901,三星,平板电脑,5,98,否,苏宁,2025-10-06,否,0
RV-100902,美的,智能家居,5,10,否,京东,2026-04-14,否,0
RV-100903,华为,智能家居,5,10,是,天猫,2025-08-19,否,2
RV-100904,OPPO,智能穿戴,5,34,是,官网,2026-04-28,否,0
RV-100905,惠普,智能穿戴,2,187,是,拼多多,2025-08-17,否,4
RV-100906,飞利浦,智能家居,5,80,是,官网,2026-06-30,否,2
RV-100907,苹果,智能手机,4,202,是,官网,2025-07-17,是,8
RV-100908,华硕,电视,4,91,否,苏宁,2025-07-30,否,0
RV-100909,海尔,笔记本电脑,5,55,否,苏宁,2026-01-06,否,0
RV-100910,苹果,智能手机,5,132,是,京东,2026-04-01,否,4
RV-100911,松下,智能穿戴,3,114,是,苏宁,2026-02-15,否,2
RV-100912,美的,耳机,5,80,否,苏宁,2025-10-25,否,0
RV-100913,苹果,耳机,4,105,是,抖音,2026-06-05,否,5
RV-100914,苹果,笔记本电脑,5,109,否,官网,2026-04-01,否,2
RV-100915,华为,智能穿戴,4,25,否,官网,2025-08-14,是,3
RV-100916,海尔,智能手机,2,118,是,拼多多,2025-10-28,否,7
RV-100917,惠普,智能手机,2,154,是,京东,2026-01-28,否,6
RV-100918,戴尔,耳机,5,85,否,苏宁,2025-07-20,否,0
RV-100919,小米,耳机,5,47,是,苏宁,2025-11-05,是,0
RV-100920,飞利浦,智能手机,4,79,是,京东,2026-01-15,否,1
RV-100921,松下,投影仪,4,103,是,苏宁,2025-08-22,是,7
RV-100922,OPPO,笔记本电脑,5,12,是,苏宁,2026-06-07,是,1
RV-100923,华为,智能穿戴,4,169,是,苏宁,2025-12-25,是,2
RV-100924,小米,电视,5,99,是,抖音,2025-08-25,否,3
RV-100925,小米,投影仪,4,83,是,京东,2026-04-01,是,6
RV-100926,小米,智能手机,4,102,是,苏宁,2026-01-08,否,7
RV-100927,华硕,智能家居,5,111,是,抖音,2025-11-27,是,7
RV-100928,海尔,投影仪,5,75,否,拼多多,2026-01-14,否,0
RV-100929,联想,智能手机,4,114,是,天猫,2026-01-13,是,4
RV-100930,三星,耳机,3,61,是,抖音,2025-09-15,否,2
RV-100931,联想,智能穿戴,4,10,是,天猫,2025-10-28,否,0
RV-100932,美的,智能手机,4,93,是,天猫,2025-12-28,否,2
RV-100933,戴尔,平板电脑,3,165,是,天猫,2026-05-11,是,6
RV-100934,索尼,智能家居,5,61,是,天猫,2026-02-13,否,1
RV-100935,三星,智能穿戴,3,113,是,天猫,2026-06-27,否,2
RV-100936,松下,智能穿戴,2,76,是,天猫,2026-01-16,否,0
RV-100937,索尼,智能家居,5,110,否,苏宁,2025-08-23,否,4
RV-100938,美的,笔记本电脑,5,72,否,拼多多,2025-07-18,否,0
RV-100939,联想,电视,1,227,是,天猫,2026-02-08,是,9
RV-100940,联想,耳机,5,128,是,苏宁,2026-05-28,否,4
RV-100941,飞利浦,笔记本电脑,5,10,是,抖音,2025-10-26,否,2
RV-100942,华硕,平板电脑,5,37,是,苏宁,2025-09-14,否,2
RV-100943,海尔,智能手机,5,10,否,苏宁,2026-03-10,否,0
RV-100944,三星,智能穿戴,4,101,是,拼多多,2026-05-26,否,1
RV-100945,华硕,投影仪,5,17,是,苏宁,2025-12-02,否,2
RV-100946,华硕,电视,4,56,否,拼多多,2026-03-11,否,0
RV-100947,海尔,笔记本电脑,5,71,是,天猫,2026-02-17,否,0
RV-100948,小米,笔记本电脑,5,64,是,拼多多,2025-07-24,否,2
RV-100949,三星,平板电脑,1,212,否,拼多多,2026-07-04,否,2
RV-100950,索尼,投影仪,3,46,是,抖音,2025-08-08,否,3
RV-100951,飞利浦,平板电脑,2,104,是,抖音,2026-03-11,否,4
RV-100952,OPPO,智能家居,3,97,是,苏宁,2026-03-23,否,3
RV-100953,华硕,智能手机,5,79,是,官网,2025-10-26,否,0
RV-100954,松下,投影仪,5,10,是,抖音,2026-01-23,否,2
RV-100955,华为,智能手机,2,189,是,天猫,2025-12-25,否,5
RV-100956,戴尔,笔记本电脑,4,30,是,京东,2026-04-12,是,2
RV-100957,海尔,平板电脑,5,26,是,京东,2026-03-29,否,1
RV-100958,美的,电视,5,65,是,拼多多,2026-04-12,否,0
RV-100959,松下,电视,5,57,否,苏宁,2025-12-06,否,0
RV-100960,格力,笔记本电脑,5,79,否,官网,2025-07-10,否,0
RV-100961,华硕,平板电脑,4,48,否,官网,2025-10-24,否,0
RV-100962,海尔,智能家居,5,96,是,拼多多,2025-10-12,否,1
RV-100963,美的,智能家居,4,99,是,苏宁,2025-08-12,否,2
RV-100964,联想,智能穿戴,5,22,否,官网,2025-08-26,否,0
RV-100965,戴尔,智能家居,5,66,是,官网,2025-12-19,否,0
RV-100966,华为,耳机,2,67,是,官网,2025-07-16,否,0
RV-100967,格力,耳机,2,122,是,京东,2026-05-30,否,2
RV-100968,惠普,投影仪,4,91,是,拼多多,2025-12-25,否,3
RV-100969,格力,电视,2,143,是,官网,2025-07-30,是,3
RV-100970,华硕,智能家居,4,67,是,天猫,2026-02-16,否,3
RV-100971,苹果,智能手机,4,27,是,官网,2026-05-30,是,4
RV-100972,飞利浦,智能手机,4,82,是,官网,2025-11-24,否,1
RV-100973,华为,笔记本电脑,5,62,是,天猫,2025-12-27,是,0
RV-100974,美的,耳机,5,10,是,官网,2025-07-25,是,3
RV-100975,小米,耳机,1,241,是,京东,2026-04-14,否,6
RV-100976,戴尔,笔记本电脑,3,27,是,京东,2025-12-01,否,3
RV-100977,三星,耳机,5,10,是,天猫,2025-12-21,是,2
RV-100978,华硕,耳机,5,37,否,苏宁,2026-03-19,否,0
RV-100979,索尼,智能家居,1,183,是,京东,2026-03-02,否,5
RV-100980,OPPO,投影仪,1,245,否,官网,2026-04-10,否,2
RV-100981,飞利浦,投影仪,1,156,否,苏宁,2025-09-12,是,4
RV-100982,戴尔,耳机,4,163,否,官网,2026-03-09,是,2
RV-100983,戴尔,耳机,4,91,是,天猫,2026-03-27,否,2
RV-100984,戴尔,耳机,4,134,是,拼多多,2026-02-16,否,3
RV-100985,海尔,智能手机,4,76,否,京东,2026-02-11,否,0
RV-100986,三星,投影仪,5,179,是,抖音,2025-12-25,是,10
RV-100987,联想,平板电脑,4,10,是,京东,2026-04-01,否,0
RV-100988,海尔,平板电脑,2,55,是,京东,2025-10-22,是,2
RV-100989,戴尔,智能家居,5,23,是,天猫,2025-09-01,否,1
RV-100990,索尼,智能穿戴,4,117,否,苏宁,2025-12-17,否,2
RV-100991,苹果,智能家居,4,36,是,京东,2025-11-04,否,1
RV-100992,飞利浦,电视,4,60,是,苏宁,2026-02-27,否,1
RV-100993,华硕,智能穿戴,4,139,是,官网,2026-04-30,否,2
RV-100994,华硕,耳机,5,10,是,苏宁,2025-12-08,是,6
RV-100995,格力,投影仪,5,49,是,京东,2025-12-11,否,0
RV-100996,美的,笔记本电脑,5,14,是,官网,2025-10-21,否,2
RV-100997,华硕,投影仪,4,94,是,苏宁,2026-03-06,否,1
RV-100998,华为,投影仪,4,56,是,天猫,2025-07-25,否,3
RV-100999,索尼,耳机,4,49,否,京东,2026-07-02,否,0
RV-101000,飞利浦,笔记本电脑,4,10,否,天猫,2025-10-16,否,0
RV-101001,美的,电视,5,10,是,拼多多,2025-09-11,否,3
RV-101002,格力,电视,3,160,否,拼多多,2026-04-26,否,2
RV-101003,格力,耳机,2,181,是,京东,2026-07-08,否,4
RV-101004,小米,电视,4,103,是,苏宁,2026-03-29,否,6
RV-101005,苹果,笔记本电脑,4,122,否,天猫,2026-04-06,否,0
RV-101006,索尼,电视,4,66,否,京东,2025-12-27,是,0
RV-101007,索尼,笔记本电脑,5,34,是,京东,2026-07-04,否,0
RV-101008,索尼,智能手机,4,101,否,拼多多,2025-10-15,是,7
RV-101009,美的,智能家居,4,165,是,天猫,2026-01-28,否,4
RV-101010,联想,电视,5,38,是,苏宁,2025-07-16,否,3
RV-101011,格力,平板电脑,5,70,是,苏宁,2026-01-01,否,1
RV-101012,OPPO,智能家居,4,10,是,拼多多,2025-08-18,是,2
RV-101013,松下,智能手机,1,79,否,抖音,2026-03-11,否,0
RV-101014,华硕,电视,3,220,否,官网,2025-08-05,否,3
RV-101015,美的,笔记本电脑,3,65,是,官网,2025-09-19,是,5
RV-101016,惠普,智能手机,5,20,是,苏宁,2026-04-13,否,3
RV-101017,小米,智能家居,4,24,是,苏宁,2026-05-15,否,0
RV-101018,格力,智能手机,5,53,否,官网,2026-02-27,否,0
RV-101019,华硕,笔记本电脑,4,44,否,京东,2025-10-30,否,0
RV-101020,飞利浦,投影仪,2,82,否,官网,2025-12-27,否,0
RV-101021,格力,电视,4,37,否,天猫,2025-11-27,否,0
RV-101022,三星,智能穿戴,5,43,是,天猫,2026-01-01,是,4
RV-101023,松下,投影仪,1,52,否,抖音,2025-09-09,是,0
RV-101024,三星,电视,1,131,是,苏宁,2026-05-15,否,5
RV-101025,华为,智能家居,5,10,否,苏宁,2026-03-18,否,0
RV-101026,海尔,智能家居,5,104,是,抖音,2026-01-31,否,2
RV-101027,格力,笔记本电脑,5,10,否,天猫,2025-08-19,否,0
RV-101028,华硕,智能穿戴,3,63,是,官网,2026-03-15,否,1
RV-101029,格力,智能手机,2,221,否,拼多多,2025-12-20,否,5
RV-101030,松下,平板电脑,1,103,否,京东,2025-12-20,否,3
RV-101031,惠普,智能穿戴,5,10,否,苏宁,2025-10-01,否,0
RV-101032,小米,平板电脑,5,160,是,天猫,2025-08-07,否,5
RV-101033,OPPO,平板电脑,4,118,是,官网,2026-03-30,否,2
RV-101034,海尔,智能手机,5,71,否,苏宁,2025-12-28,否,0
RV-101035,海尔,平板电脑,2,43,是,京东,2026-06-12,否,1
RV-101036,惠普,投影仪,4,69,否,苏宁,2026-03-07,否,0
RV-101037,华硕,智能穿戴,4,87,否,官网,2025-12-28,否,0
RV-101038,飞利浦,笔记本电脑,3,98,否,京东,2026-01-01,否,0
RV-101039,小米,笔记本电脑,5,121,是,抖音,2026-06-27,否,5
RV-101040,OPPO,智能家居,5,74,是,抖音,2026-02-06,否,3
RV-101041,苹果,笔记本电脑,5,102,是,官网,2025-12-13,否,5
RV-101042,华为,电视,4,19,是,官网,2026-03-24,否,0
RV-101043,美的,笔记本电脑,5,54,是,京东,2026-01-29,否,3
RV-101044,华为,平板电脑,4,76,是,拼多多,2025-10-22,是,0
RV-101045,联想,平板电脑,4,163,否,拼多多,2025-10-16,是,2
RV-101046,海尔,智能家居,5,193,是,京东,2025-07-21,否,5
RV-101047,海尔,智能手机,5,10,是,抖音,2026-05-01,否,1
RV-101048,惠普,耳机,4,24,是,官网,2025-12-25,否,2
RV-101049,美的,平板电脑,4,109,是,天猫,2025-10-07,否,4
RV-101050,小米,智能穿戴,1,119,否,苏宁,2026-04-16,是,8
RV-101051,松下,平板电脑,5,102,是,拼多多,2026-05-30,否,5
RV-101052,小米,笔记本电脑,4,172,是,拼多多,2026-03-15,否,3
RV-101053,华为,笔记本电脑,5,108,否,天猫,2026-05-06,否,0
RV-101054,惠普,智能穿戴,4,42,否,拼多多,2025-09-29,是,2
RV-101055,OPPO,笔记本电脑,2,192,是,官网,2026-01-13,否,4
RV-101056,海尔,电视,4,51,是,抖音,2025-12-27,是,2
RV-101057,格力,智能穿戴,5,47,是,抖音,2025-07-26,否,1
RV-101058,戴尔,智能家居,5,10,否,抖音,2025-12-01,否,0
RV-101059,格力,耳机,5,49,否,拼多多,2025-12-12,否,0
RV-101060,松下,笔记本电脑,4,134,是,苏宁,2025-09-28,否,2
RV-101061,飞利浦,智能手机,1,206,否,苏宁,2026-04-30,否,5
RV-101062,华硕,笔记本电脑,4,77,是,官网,2026-03-05,否,2
RV-101063,海尔,智能手机,4,10,否,天猫,2025-10-13,否,0
RV-101064,苹果,笔记本电脑,5,105,是,拼多多,2026-05-12,否,3
RV-101065,美的,耳机,3,128,否,苏宁,2026-02-05,否,2
RV-101066,索尼,智能穿戴,5,58,是,抖音,2025-11-13,否,0
RV-101067,松下,智能家居,5,91,是,京东,2026-01-08,否,2
RV-101068,华为,投影仪,2,186,是,京东,2025-12-10,否,1
RV-101069,美的,智能家居,5,84,是,拼多多,2025-12-18,否,3
RV-101070,索尼,投影仪,4,121,是,拼多多,2026-04-28,否,4
RV-101071,格力,电视,5,83,否,天猫,2026-05-13,否,0
RV-101072,索尼,智能手机,5,122,是,苏宁,2026-05-09,否,5
RV-101073,华硕,智能家居,3,124,否,官网,2025-10-25,否,3
RV-101074,美的,电视,5,82,否,官网,2026-07-02,否,0
RV-101075,三星,智能手机,4,112,是,苏宁,2025-11-28,否,5
RV-101076,索尼,智能穿戴,4,114,否,京东,2026-02-15,否,1
RV-101077,松下,智能穿戴,1,218,是,京东,2025-07-12,否,4
RV-101078,格力,平板电脑,5,65,否,京东,2025-12-15,否,0
RV-101079,索尼,耳机,2,160,是,苏宁,2025-12-26,否,0
RV-101080,惠普,智能穿戴,3,94,否,官网,2025-12-02,否,0
RV-101081,华为,智能穿戴,5,57,是,拼多多,2026-03-04,否,3
RV-101082,美的,智能手机,5,32,是,京东,2025-09-01,否,2
RV-101083,戴尔,平板电脑,5,86,是,官网,2026-05-20,否,0
RV-101084,华为,平板电脑,5,61,是,官网,2026-03-09,否,2
RV-101085,索尼,耳机,4,19,是,官网,2025-09-11,是,0
RV-101086,松下,耳机,5,114,是,官网,2025-10-08,是,6
RV-101087,苹果,智能手机,5,25,是,苏宁,2026-01-02,否,2
RV-101088,海尔,笔记本电脑,2,193,是,拼多多,2025-09-05,否,1
RV-101089,格力,平板电脑,5,25,否,苏宁,2025-12-17,是,1
RV-101090,海尔,笔记本电脑,5,59,是,天猫,2026-03-25,否,2
RV-101091,华为,平板电脑,4,30,是,官网,2025-07-11,是,7
RV-101092,惠普,智能穿戴,5,20,是,天猫,2025-10-08,否,0
RV-101093,索尼,智能手机,4,70,否,拼多多,2026-05-01,否,0
RV-101094,松下,智能手机,4,77,是,抖音,2025-08-19,否,2
RV-101095,联想,投影仪,5,49,是,抖音,2025-12-11,否,1
RV-101096,索尼,投影仪,1,120,否,京东,2026-02-27,是,3
RV-101097,惠普,笔记本电脑,3,173,否,官网,2025-08-22,否,2
RV-101098,OPPO,耳机,3,30,是,苏宁,2026-04-20,否,3
RV-101099,三星,电视,5,10,否,天猫,2025-11-15,是,1
RV-101100,松下,平板电脑,5,43,是,苏宁,2026-04-09,否,1
RV-101101,海尔,耳机,5,41,是,官网,2026-05-18,否,3
RV-101102,惠普,平板电脑,3,102,否,京东,2025-08-13,否,0
RV-101103,苹果,耳机,3,117,是,京东,2026-07-04,否,4
RV-101104,惠普,投影仪,2,146,是,天猫,2025-11-05,是,5
RV-101105,三星,智能手机,4,10,是,京东,2026-06-16,否,0
RV-101106,惠普,智能穿戴,5,85,否,苏宁,2026-03-14,否,0
RV-101107,戴尔,平板电脑,5,50,是,官网,2025-07-22,否,3
RV-101108,松下,笔记本电脑,4,119,否,拼多多,2025-08-27,否,0
RV-101109,小米,投影仪,2,129,否,天猫,2026-04-22,否,4
